[2026-05-25 09:14:20] [INFO] Python=3.13.5 deps={'pandas': '3.0.3', 'openpyxl': '3.1.5', 'xlrd': '2.0.2'}
[2026-05-25 09:14:20] [INFO] 输入目录=181-固收上层 输出文件=多套账净值查询.xlsx
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250901.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250902.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250903.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250904.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250905.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250906.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250907.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250908.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250909.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250910.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250911.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250912.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250913.xlsx engine=openpyxl
[2026-05-25 09:14:20] [INFO] 开始处理文件: HS-181_多账套净值查询_20250914.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250915.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250916.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250917.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250918.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250919.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250920.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250921.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250922.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250923.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250924.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250925.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250926.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250927.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250928.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250929.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20250930.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20251001.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20251002.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20251003.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20251004.xlsx engine=openpyxl
[2026-05-25 09:14:21] [INFO] 开始处理文件: HS-181_多账套净值查询_20251005.xlsx engine=openpyxl
